ticker,company,gics_sector,gics_industry,index_weight_pct,shares,local_price,trade_country,domicile,domicile_verified,fy_end,fy_end_verified,aasb_s2_applies,report_type,report_location,report_year,report_url,notes
BHP,Bhp Group Ltd,Materials,Metals & Mining,14.14188,1688497.0,61.35,Australia,,,,,,,,,,
CBA,Cmnwlth Bk Of Aust,Financials,Banks,12.696862,556347.0,167.17,Australia,,,,,,,,,,
NAB,Natl Australia Bk,Financials,Banks,5.76661,1021040.0,41.37,Australia,,,,,,,,,,
WBC,Westpac Bkg Corp,Financials,Banks,5.485034,1135931.0,35.37,Australia,,,,,,,,,,
ANZ,Anz Group Hldgs Li,Financials,Banks,5.320257,1002080.0,38.89,Australia,,,,,,,,,,
WES,Wesfarmers Ltd,Consumer Discretionary,Broadline Retail,4.568951,377312.0,88.7,Australia,,,,,,,,,,
MQG,Macquarie Gp Ltd,Financials,Capital Markets,4.211995,117804.0,261.9,Australia,,,,,,,,,,
CSL,Csl Ltd,Health Care,Biotechnology,3.002645,161131.0,136.5,Australia,,,,,,,,,,
RIO,Rio Tinto Limited,Materials,Metals & Mining,2.832854,123818.0,167.59,Australia,,,,,,,,,,
WDS,Woodside Energy Gr,Energy,Oil Gas & Consumable Fuels,2.803746,629983.0,32.6,Australia,,,,,,,,,,
GMG,Goodman Group,Real Estate,Industrial Reits,2.750552,679063.0,29.67,Australia,,,,,,,,,,
TLS,Telstra Group Ltd,Communication Services,Diversified Telecommunication Services,2.434516,3730718.0,4.78,Australia,,,,,,,,,,
WOW,Woolworths Grp Ltd,Consumer Staples,Consumer Staples Distribution & Retail,2.210359,404772.0,40.0,Australia,,,,,,,,,,
TCL,Transurban Group,Industrials,Transportation Infrastructure,1.976305,1036994.0,13.96,Australia,,,,,,,,,,
ALL,Aristocrat Leisure,Consumer Discretionary,Hotels Restaurants & Leisure,1.761201,200323.0,64.4,Australia,,,,,,,,,,
QBE,Qbe Ins Group,Financials,Insurance,1.573281,499103.0,23.09,Australia,,,,,,,,,,
NST,Nthn Star Res Ltd,Materials,Metals & Mining,1.461875,475499.0,22.52,Australia,,,,,,,,,,
COL,Coles Group Ltd,Consumer Staples,Consumer Staples Distribution & Retail,1.432482,445749.0,23.54,Australia,,,,,,,,,,
FMG,Fortescue Ltd,Materials,Metals & Mining,1.32626,550729.0,17.64,Australia,,,,,,,,,,
EVN,Evolution Mining,Materials,Metals & Mining,1.213116,672678.0,13.21,Australia,,,,,,,,,,
BXB,Brambles Ltd,Industrials,Commercial Services & Supplies,1.205633,451496.0,19.56,Australia,,,,,,,,,,
STO,Santos Limited,Energy,Oil Gas & Consumable Fuels,1.178825,1080713.0,7.99,Australia,,,,,,,,,,
CPU,Computershare Ltd,Industrials,Professional Services,1.001458,181307.0,40.46,Australia,,,,,,,,,,
S32,South32 Ltd,Materials,Metals & Mining,0.969825,1492431.0,4.76,Australia,,,,,,,,,,
SUN,Suncorp Group Ltd,Financials,Insurance,0.969111,360342.0,19.7,Australia,,,,,,,,,,
ORG,Origin Energy,Utilities,Electric Utilities,0.937359,568861.0,12.07,Australia,,,,,,,,,,
SCG,Scentre Group Ltd,Real Estate,Retail Reits,0.884784,1719110.0,3.77,Australia,,,,,,,,,,
IAG,Insurance Aust Grp,Financials,Insurance,0.873085,785669.0,8.14,Australia,,,,,,,,,,
RMD,Resmed Inc,Health Care,Health Care Equipment & Supplies,0.830043,189824.0,32.03,United States,,,,,,,,,,
SIG,Sigma Healthcare L,Health Care,Health Care Providers & Services,0.780204,1917784.0,2.98,Australia,,,,,,,,,,
SOL,Washington H Soul,Financials,Financial Services,0.753951,118691.0,46.53,Australia,,,,,,,,,,
QAN,Qantas Airways,Industrials,Passenger Airlines,0.693054,507662.0,10.0,Australia,,,,,,,,,,
LYC,Lynas Rare Earths,Materials,Metals & Mining,0.687558,307846.0,16.36,Australia,,,,,,,,,,
PLS,Pls Group Limited,Materials,Metals & Mining,0.676312,1017246.0,4.87,Australia,,,,,,,,,,
BSL,Bluescope Steel,Materials,Metals & Mining,0.672705,146262.0,33.69,Australia,,,,,,,,,,
JHX,James Hardie Indus,Materials,Construction Materials,0.661783,110574.0,43.84,Australia,,,,,,,,,,
MPL,Medibank Private L,Financials,Insurance,0.638962,919528.0,5.09,Australia,,,,,,,,,,
XRO,Xero Limited,Information Technology,Software,0.620394,55773.0,81.48,New Zealand,,,,,,,,,,
APA,Apa Group,Utilities,Gas Utilities,0.60039,437163.0,10.06,Australia,,,,,,,,,,
NEM,Newmont Corporatio,Materials,Metals & Mining,0.577043,26187.0,161.41,United States,,,,,,,,,,
TLC,Lottery Corporatio,Consumer Discretionary,Hotels Restaurants & Leisure,0.544208,740953.0,5.38,Australia,,,,,,,,,,
ASX,Asx Ltd,Financials,Capital Markets,0.520456,65403.0,58.29,Australia,,,,,,,,,,
CAR,Car Group Ltd,Communication Services,Interactive Media & Services,0.520264,126609.0,30.1,Australia,,,,,,,,,,
ALQ,Als Limited,Industrials,Professional Services,0.513853,168335.0,22.36,Australia,,,,,,,,,,
SHL,Sonic Healthcare,Health Care,Health Care Providers & Services,0.496244,162494.0,22.37,Australia,,,,,,,,,,
LNW,Light & Wonder Inc,Consumer Discretionary,Hotels Restaurants & Leisure,0.494833,26697.0,135.77,United States,,,,,,,,,,
SGP,Stockland,Real Estate,Diversified Reits,0.473433,804617.0,4.31,Australia,,,,,,,,,,
GPT,Gpt Group,Real Estate,Diversified Reits,0.44524,635747.0,5.13,Australia,,,,,,,,,,
