item,pillar,mean,sd,n_0,n_1,n_2,pct_at_2
G_a,Governance,1.62,0.4903143514780146,0,19,31,62.0
G_b,Governance,1.4,0.4948716593053935,0,30,20,40.0
S_a,Strategy,1.52,0.5046720495044484,0,24,26,52.0
S_b,Strategy,1.62,0.5674864018868916,2,15,33,66.0
S_c,Strategy,1.36,0.7216760537322907,7,18,25,50.0
R_a,Risk Mgmt,1.56,0.5771145679064045,2,18,30,60.0
R_b,Risk Mgmt,1.4,0.5714285714285714,2,26,22,44.0
R_c,Risk Mgmt,1.64,0.48487322138506117,0,18,32,64.0
M_a,Metrics & Targets,1.14,0.670363897522861,8,27,15,30.0
M_b,Metrics & Targets,1.46,0.542481072744215,1,25,24,48.0
M_c,Metrics & Targets,1.68,0.6207303137828695,4,8,38,76.0
