ticker,company,gics_sector,exposure,index_weight_pct,G_a,G_b,S_a,S_b,S_c,R_a,R_b,R_c,M_a,M_b,M_c,Governance,Strategy,Risk Mgmt,Metrics & Targets,total
ALL,Aristocrat Leisure,Consumer Discretionary,Reference,1.7612,2,2,2,1,2,2,1,2,0,1,1,2.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,16
ALQ,Als Limited,Industrials,Reference,0.5139,1,1,2,1,1,2,1,2,1,2,2,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,16
ANZ,Anz Group Hldgs Li,Financials,Indirect,5.3203,1,1,2,2,2,2,2,2,1,2,2,1.0,2.0,2.0,1.6666666666666667,19
APA,Apa Group,Utilities,Transition,0.6004,2,1,2,2,2,2,1,1,1,2,2,1.5,2.0,1.3333333333333333,1.6666666666666667,18
ASX,Asx Ltd,Financials,Indirect,0.5205,1,1,1,2,1,0,2,1,1,1,1,1.0,1.3333333333333333,1.0,1.0,12
BHP,Bhp Group Ltd,Materials,Transition,14.1419,2,1,1,2,2,1,1,2,2,2,2,1.5,1.6666666666666667,1.3333333333333333,2.0,18
BSL,Bluescope Steel,Materials,Transition,0.6727,1,1,1,2,1,2,1,2,1,1,2,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,15
BXB,Brambles Ltd,Industrials,Physical,1.2056,2,2,2,1,2,2,1,2,2,1,2,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,19
CAR,Car Group Ltd,Communication Services,Reference,0.5203,2,2,1,1,1,2,2,2,0,1,2,2.0,1.0,2.0,1.0,16
CBA,Cmnwlth Bk Of Aust,Financials,Indirect,12.6969,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,22
COH,Cochlear Ltd,Health Care,Reference,0.3934,1,2,2,1,1,1,1,1,0,2,2,1.5,1.3333333333333333,1.0,1.3333333333333333,14
